Count_point_id,N_year,Year_start,Year_end,Max_year_gap
539,6320,22,2000,2021,1
540,6326,22,2000,2021,1
541,6327,22,2000,2021,1
542,6331,22,2000,2021,1
543,6335,22,2000,2021,1
544,6337,22,2000,2021,1
545,6338,22,2000,2021,1
546,6339,22,2000,2021,1
547,6344,22,2000,2021,1
548,6345,22,2000,2021,1
549,6347,22,2000,2021,1
550,6349,18,2000,2017,1
551,6352,22,2000,2021,1
552,6353,22,2000,2021,1
553,6354,22,2000,2021,1
554,6358,8,2000,2007,1
555,6359,22,2000,2021,1
556,6361,22,2000,2021,1
557,6363,22,2000,2021,1
558,6364,22,2000,2021,1
559,6367,22,2000,2021,1
560,6368,18,2000,2017,1
561,6369,22,2000,2021,1
562,6380,22,2000,2021,1
563,6381,22,2000,2021,1
564,6382,20,2000,2019,1
565,6383,20,2000,2019,1
566,6385,20,2000,2019,1
567,6388,22,2000,2021,1
568,6390,22,2000,2021,1
569,6391,8,2000,2007,1
570,6392,22,2000,2021,1
571,6393,22,2000,2021,1
572,6394,22,2000,2021,1
573,6396,22,2000,2021,1
574,6397,4,2000,2003,1
575,6398,22,2000,2021,1
576,6399,22,2000,2021,1
577,6401,22,2000,2021,1
578,6402,22,2000,2021,1
579,6403,22,2000,2021,1
580,6407,22,2000,2021,1
581,6409,22,2000,2021,1
582,6410,22,2000,2021,1
583,6413,22,2000,2021,1
584,6416,22,2000,2021,1
585,6417,22,2000,2021,1
586,6418,22,2000,2021,1
587,6419,20,2000,2019,1
588,6420,22,2000,2021,1
589,6425,22,2000,2021,1
590,6426,22,2000,2021,1
591,6428,22,2000,2021,1
592,6429,22,2000,2021,1
593,6430,22,2000,2021,1
594,6431,22,2000,2021,1
595,6432,22,2000,2021,1
596,6434,22,2000,2021,1
597,6435,22,2000,2021,1
598,6436,22,2000,2021,1
599,6437,17,2000,2016,1
600,6438,22,2000,2021,1
601,6440,22,2000,2021,1
602,6441,22,2000,2021,1
603,6442,22,2000,2021,1
604,6444,22,2000,2021,1
605,6446,22,2000,2021,1
606,6447,22,2000,2021,1
607,6448,22,2000,2021,1
608,6449,22,2000,2021,1
609,6450,22,2000,2021,1
610,6454,5,2000,2004,1
611,6455,22,2000,2021,1
612,6456,22,2000,2021,1
613,6458,22,2000,2021,1
614,6459,22,2000,2021,1
615,6460,22,2000,2021,1
616,6461,22,2000,2021,1
617,6462,22,2000,2021,1
618,6465,22,2000,2021,1
619,6467,22,2000,2021,1
620,6470,22,2000,2021,1
621,6471,21,2000,2020,1
622,6472,22,2000,2021,1
623,6473,19,2000,2018,1
624,6474,22,2000,2021,1
625,6480,22,2000,2021,1
626,6481,22,2000,2021,1
627,6482,22,2000,2021,1
628,6483,22,2000,2021,1
629,6488,22,2000,2021,1
630,6490,22,2000,2021,1
631,6491,17,2000,2016,1
632,6492,22,2000,2021,1
633,6495,22,2000,2021,1
634,6496,22,2000,2021,1
635,6498,22,2000,2021,1
636,6499,22,2000,2021,1
637,6502,7,2000,2006,1
638,6503,5,2000,2004,1
639,6504,22,2000,2021,1
640,6505,22,2000,2021,1
641,6510,22,2000,2021,1
642,6511,21,2000,2020,1
643,6514,22,2000,2021,1
644,6515,22,2000,2021,1
645,6516,22,2000,2021,1
646,6517,22,2000,2021,1
647,6518,18,2000,2017,1
648,6520,17,2000,2016,1
649,6521,22,2000,2021,1
650,6522,22,2000,2021,1
651,6524,19,2000,2018,1
652,6527,22,2000,2021,1
653,6529,20,2000,2019,1
654,6530,22,2000,2021,1
655,6532,22,2000,2021,1
656,6533,22,2000,2021,1
657,6534,2,2000,2001,1
658,6536,22,2000,2021,1
659,6538,22,2000,2021,1
660,6539,22,2000,2021,1
661,6540,22,2000,2021,1
662,6541,22,2000,2021,1
663,6542,22,2000,2021,1
664,6544,22,2000,2021,1
665,6545,22,2000,2021,1
666,6546,22,2000,2021,1
667,6547,22,2000,2021,1
668,6548,9,2000,2008,1
669,6550,22,2000,2021,1
670,6553,22,2000,2021,1
671,6554,22,2000,2021,1
672,6556,22,2000,2021,1
673,6557,22,2000,2021,1
674,6558,22,2000,2021,1
675,6559,22,2000,2021,1
676,6560,22,2000,2021,1
677,6562,22,2000,2021,1
678,6564,22,2000,2021,1
679,6565,22,2000,2021,1
680,6568,22,2000,2021,1
681,6570,22,2000,2021,1
682,6571,22,2000,2021,1
683,6572,22,2000,2021,1
684,6574,22,2000,2021,1
685,6575,22,2000,2021,1
686,6576,22,2000,2021,1
687,6577,22,2000,2021,1
688,6578,22,2000,2021,1
689,6580,22,2000,2021,1
690,6581,22,2000,2021,1
691,6582,22,2000,2021,1
692,6583,22,2000,2021,1
693,6584,22,2000,2021,1
694,6586,22,2000,2021,1
695,6587,22,2000,2021,1
696,6589,5,2000,2004,1
697,6590,22,2000,2021,1
698,6593,22,2000,2021,1
699,6595,22,2000,2021,1
700,6599,22,2000,2021,1
701,6600,22,2000,2021,1
702,6601,22,2000,2021,1
703,6604,22,2000,2021,1
704,6605,22,2000,2021,1
705,6606,22,2000,2021,1
706,6607,22,2000,2021,1
707,6611,22,2000,2021,1
708,6612,22,2000,2021,1
709,6613,22,2000,2021,1
710,6615,22,2000,2021,1
711,6617,22,2000,2021,1
712,6618,22,2000,2021,1
713,6619,22,2000,2021,1
714,6620,22,2000,2021,1
715,6621,19,2000,2018,1
716,6623,22,2000,2021,1
717,6624,22,2000,2021,1
718,6625,22,2000,2021,1
